,Country Code,Country,Region,Subregion,Population,Category,Undefined,Total military firearms,Firearms in subcategories,Computation method
0,Country,Country,Region,Subregion,Population,,Category,Total military,Firearms in sub-,Computation method
3,ALB,Albania,Europe,Southern Europe,2911000,,"country total
all active military",21750,20800,2
5,DZA,Algeria,Africa,Northern Africa,41064000,,"country total
all active military",637720,338000,2
10,AGO,Angola,Africa,Middle Africa,26656000,,all active military,203300,,2
11,ATG,Antigua and Barbuda,Americas,Caribbean,94000,,"country total
all active military",438,342,2
13,ARG,Argentina,Americas,South America,44272000,,"country total
all active military",679770,192920,2
16,ARM,Armenia,Asia,Western Asia,3032000,,"country total
all active military",509240,149240,2
18,AUS,Australia,Oceania,Australia/New Zealand,24642000,,"country total
all active military",214520,183186,2
20,AUT,Austria,Europe,Western Europe,8592000,,"country total
all active military",240880,58240,2
22,AZE,Azerbaijan,Asia,Western Asia,9974000,,"country total
all active military",537920,183820,2
25,Country,Country,Region,Subregion,Population,,Category,Total military,Firearms in sub-,Computation method
29,BHS,"Bahamas, The",Americas,Caribbean,397000,,all active military,2470,,2
30,BHR,Bahrain,Asia,Western Asia,1419000,,"country total
all active military",25796,21320,2
33,BGD,Bangladesh,Asia,Southern Asia,164828000,,"country total
all active military",410305,298395,2
37,BRB,Barbados,Americas,Caribbean,286000,,"country total
all active military",1675,1159,2
39,BLR,Belarus,Europe,Eastern Europe,9459000,,"country total
all active military",780600,410400,2
42,BEL,Belgium,Europe,Western Europe,11444000,,"country total
all active military",80880,74880,2
44,BLZ,Belize,Americas,Central America,375000,,"country total
all active military",3690,2850,2
46,BEN,Benin,Africa,Western Africa,11459000,,all active military,8700,,2
47,BTN,Bhutan,Asia,Southern Asia,793000,,all active military,15200,,2
48,BOL,"Bolivia, Plurinational State of",Americas,South America,11053000,,all active military,87590,,2
49,BIH,Bosnia and Herzegovina,Europe,Southern Europe,3793000,,reserve forces,27300,,2
50,BWA,Botswana,Africa,Southern Africa,2344000,,all active military,17100,,2
51,BRA,Brazil,Americas,South America,211243000,,"country total
all active military",1316300,635550,1
53,BRN,Brunei Darussalam,Asia,South-eastern Asia,434000,,"country total
all active military",20220,18720,2
55,Country,Country,Region,Subregion,Population,,Category,Total military,Firearms in sub-,Computation method
58,BGR,Bulgaria,Europe,Eastern Europe,7045000,,"country total
all active military",176640,150240,2
61,BFA,Burkina Faso,Africa,Western Africa,19173000,,"country total
all active military",43780,21280,2
63,BDI,Burundi,Africa,Eastern Africa,11936000,,"country total
all active military",75960,36060,2
65,CPV,Cabo Verde (Cape Verde),Africa,Western Africa,533000,,all active military,2280,,2
