ISO,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
ALB,Albania,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,57,CTS
ARM,Armenia,Asia,Western Asia,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,40,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,7,CTS
AUT,Austria,Europe,Western Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,44,CTS
AZE,Azerbaijan,Asia,Western Asia,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,189,CTS
BEL,Belgium,Europe,Western Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,51,CTS
BGR,Bulgaria,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,108,CTS
BHS,Bahamas,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,99,CTS
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,501,CTS
BRB,Barbados,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,18,CTS
CHE,Switzerland,Europe,Western Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,19,CTS
CHL,Chile,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,259,CTS
COL,Colombia,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,6409,CTS
CZE,Czechia,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,38,CTS
DEU,Germany,Europe,Western Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,402,CTS
DMA,Dominica,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,12,CTS
DNK,Denmark,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,56,CTS
ESP,Spain,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,241,CTS
FIN,Finland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,50,CTS
FRA,France,Europe,Western Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,692,CTS
GRC,Greece,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,50,CTS
GUY,Guyana,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,71,CTS
HRV,Croatia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,16,CTS
HUN,Hungary,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,42,CTS
ISL,Iceland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,2,CTS
ITA,Italy,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,625,CTS
JOR,Jordan,Asia,Western Asia,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,224,MNS/CTS
KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,17,CTS
LCA,Saint Lucia,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,17,CTS
LKA,Sri Lanka,Asia,Southern Asia,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,452,CTS
LTU,Lithuania,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,99,CTS
LVA,Latvia,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,131,CTS
MEX,Mexico,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,5219,CTS
MLT,Malta,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,1,CTS
MNG,Mongolia,Asia,Eastern Asia,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,178,CTS
NOR,Norway,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,21,CTS
OMN,Oman,Asia,Western Asia,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,3,CTS
RUS,Russian Federation,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,9748,CTS
SRB,Serbia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,96,CTS
SVK,Slovakia,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,40,CTS
SVN,Slovenia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,8,CTS
TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,114,NGO
TUR,Türkiye,Asia,Western Asia,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,4663,CTS
UZB,Uzbekistan,Asia,Central Asia,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,403,CTS
ALB,Albania,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,2,CTS
