ISO,Region,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source,Continent,Population,Estimate of firearms in civilian possession,Registered firearms,Unregistered firearms,Total law enforcement firearms,Total military firearms,Country,Subregion
ALB,Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,57,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Persons arrested/suspected for intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,2,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Male,Total,2018,Counts,1,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Persons arrested/suspected for intentional homicide,by citizenship,Foreign citizens,Female,Total,2018,Counts,0,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,Total,Total,Total,Total,2018,Counts,66,MD/CTS/GSH 2023 Revision/NSO,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,Total,Total,Male,Total,2018,Counts,51,MD/CTS/GSH 2023 Revision/NSO,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,Total,Total,Female,Total,2018,Counts,15,MD/CTS/GSH 2023 Revision/SDG/NSO,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member,Total,Total,2018,Counts,23,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Intimate partner,Total,Total,2018,Counts,7,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Intimate partner,Male,Total,2018,Counts,3,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Intimate partner,Female,Total,2018,Counts,4,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by relationship to perpetrator,Intimate partner or family member: Family member,Total,Total,2018,Counts,16,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by relationship to perpetrator,Other Perpetrator known to the victim,Total,Total,2018,Counts,1,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,Counts,0,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator to victim relationship unknown,Total,Total,2018,Counts,44,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by situational context,Interpersonal homicide,Total,Total,2018,Counts,19,GSH 2023 Revision/CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by situational context,Interpersonal homicide,Male,Total,2018,Counts,9,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by situational context,Interpersonal homicide,Female,Total,2018,Counts,11,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by situational context,Socio-political homicide,Total,Total,2018,Counts,0,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by situational context,Socio-political homicide,Male,Total,2018,Counts,0,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by situational context,Socio-political homicide,Female,Total,2018,Counts,0,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by situational context,Unknown types of homicide,Total,Total,2018,Counts,48,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by situational context,Unknown types of homicide,Male,Total,2018,Counts,44,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by situational context,Unknown types of homicide,Female,Total,2018,Counts,4,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by mechanisms,Firearms or explosives - firearms,Total,Total,2018,Counts,46,CTS/GSH 2023 Revision,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by mechanisms,Another weapon - sharp object,Total,Total,2018,Counts,19,CTS/GSH 2023 Revision,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,Total,Total,Female,0-9,2018,Counts,0,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,Total,Total,Male,10 -14,2018,Counts,3,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,Total,Total,Female,10 -14,2018,Counts,0,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,Total,Total,Male,15 -17,2018,Counts,2,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,Total,Total,Female,15 -17,2018,Counts,2,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,Total,Total,Male,18-19,2018,Counts,48,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,Total,Total,Female,18-19,2018,Counts,13,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by citizenship,National citizens,Male,Total,2018,Counts,52,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide,by citizenship,National citizens,Female,Total,2018,Counts,12,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide – City-level data,by location,2nd largest city,Total,Total,2018,Counts,10,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide – City-level data,by location,3rd largest city,Total,Total,2018,Counts,7,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Victims of intentional homicide – City-level data,by location,1st largest city,Total,Total,2018,Counts,11,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Persons arrested/suspected for intentional homicide,Total,Total,Male,10 -14,2018,Counts,0,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Persons arrested/suspected for intentional homicide,Total,Total,Male,15 -17,2018,Counts,3,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Persons arrested/suspected for intentional homicide,Total,Total,Male,25-29,2018,Counts,19,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Persons arrested/suspected for intentional homicide,Total,Total,Male,30-44,2018,Counts,26,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Persons arrested/suspected for intentional homicide,Total,Total,Male,45-59,2018,Counts,9,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Persons arrested/suspected for intentional homicide,Total,Total,Male,60 and older,2018,Counts,3,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Persons convicted for intentional homicide,Total,Total,Total,Total,2018,Counts,114,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
ALB,Europe,Death due to intentional homicide in prison,Total,Total,Total,Total,2018,Counts,0,CTS,Europe,2911000.0,350000,65747.0,284253.0,19000,21750.0,Albania,Southern Europe
