,Country code,Country,Region,Subregion,Population 2017,"Estimate of firearms in civilian possession","Estimate of Computation civilian firearms method per 100 persons",Method of computation,Registered firearms,Unregistered firearms
0,AFG,Afghanistan,Asia,Southern Asia,34169000.0,4270000,12.5,2.0,,
1,ALB,Albania,Europe,Southern Europe,2911000.0,350000,12.0,2.0,65747.0,284253.0
2,DZA,Algeria,Africa,Northern Africa,41064000.0,877000,2.1,2.0,200000.0,677000.0
3,ASM,American Samoa,Oceania,Polynesia,56000.0,400,0.7,2.0,250.0,150.0
4,AND,Andorra,Europe,Southern Europe,69000.0,10000,14.1,3.0,7599.0,2401.0
5,AGO,Angola,Africa,Middle Africa,26656000.0,2982000,11.2,2.0,,
6,ATG,Antigua and Barbuda,Americas,Caribbean,94000.0,5000,5.4,2.0,1449.0,3551.0
7,ARG,Argentina,Americas,South America,44272000.0,3256000,7.4,2.0,1562332.0,1693668.0
8,ARM,Armenia,Asia,Western Asia,3032000.0,186000,6.1,3.0,45822.0,140178.0
9,ABW,Aruba,Americas,Caribbean,105000.0,3000,2.6,3.0,,
10,AUS,Australia,Oceania,Australia/New Zealand,24642000.0,3573000,14.5,2.0,3158795.0,414205.0
11,AUT,Austria,Europe,Western Europe,8592000.0,2577000,30.0,1.0,837000.0,1740000.0
12,AZE,Azerbaijan,Asia,Western Asia,9974000.0,362000,3.6,2.0,,
13,BHS,"Bahamas, The",Americas,Caribbean,397000.0,74000,18.8,2.0,17110.0,56890.0
14,BHR,Bahrain,Asia,Western Asia,1419000.0,181000,12.8,3.0,,
15,BGD,Bangladesh,Asia,Southern Asia,164828000.0,659000,0.4,2.0,185000.0,474000.0
16,BRB,Barbados,Americas,Caribbean,286000.0,10000,3.5,3.0,3000.0,7000.0
17,BLR,Belarus,Europe,Eastern Europe,9459000.0,581000,6.1,3.0,130000.0,451000.0
18,BEL,Belgium,Europe,Western Europe,11444000.0,1451000,12.7,1.0,426939.0,1024061.0
19,BLZ,Belize,Americas,Central America,375000.0,37000,10.0,2.0,10755.0,26245.0
20,BEN,Benin,Africa,Western Africa,11459000.0,33000,0.3,2.0,,
21,BMU,Bermuda,Americas,Northern America,61000.0,3000,4.6,3.0,,
22,BTN,Bhutan,Asia,Southern Asia,793000.0,6000,0.8,3.0,4309.0,1691.0
23,BOL,"Bolivia, Plurinational State of",Americas,South America,11053000.0,218000,2.0,3.0,10982.0,207018.0
24,BIH,Bosnia and Herzegovina,Europe,Southern Europe,3793000.0,1185000,31.2,2.0,353000.0,832000.0
