Country,ISO,Year,Continent,Population,Estimate of firearms in civilian possession,Total law enforcement firearms,Total military firearms,Subregion,Total Homicides
Albania,ALB,2018,Europe,2911000.0,350000,19000,21750.0,Southern Europe,6248
Algeria,DZA,2018,Africa,41064000.0,877000,363000,637720.0,Northern Africa,9855
Antigua and Barbuda,ATG,2018,Americas,94000.0,5000,800,438.0,Latin America and the Caribbean,534
Argentina,ARG,2018,Americas,44272000.0,3256000,391000,679770.0,Latin America and the Caribbean,119890
Armenia,ARM,2018,Asia,3032000.0,186000,18000,509240.0,Western Asia,1237
Australia,AUS,2018,Oceania,24642000.0,3573000,69000,214520.0,Australia and New Zealand,10072
Austria,AUT,2018,Europe,8592000.0,2577000,37900,240880.0,Western Europe,4714
Azerbaijan,AZE,2018,Asia,9974000.0,362000,18000,537920.0,Western Asia,9276
Bahamas,BHS,2018,Americas,397000.0,74000,5000,2470.0,Latin America and the Caribbean,6298
Bahrain,BHR,2018,Asia,1419000.0,181000,20000,25796.0,Western Asia,22
Bangladesh,BGD,2018,Asia,164828000.0,659000,333000,410305.0,Southern Asia,7691
Barbados,BRB,2018,Americas,286000.0,10000,2000,1675.0,Latin America and the Caribbean,1783
Belarus,BLR,2018,Europe,9459000.0,581000,165000,780600.0,Eastern Europe,3268
Belgium,BEL,2018,Europe,11444000.0,1451000,78000,80880.0,Western Europe,2663
Belize,BLZ,2018,Americas,375000.0,37000,2000,3690.0,Latin America and the Caribbean,5102
Bhutan,BTN,2018,Asia,793000.0,6000,4000,15200.0,Southern Asia,167
Bolivia (Plurinational State of),BOL,2018,Americas,11053000.0,218000,42000,87590.0,Latin America and the Caribbean,21979
Bosnia and Herzegovina,BIH,2018,Europe,3793000.0,1185000,29000,27300.0,Southern Europe,989
Brazil,BRA,2018,Americas,211243000.0,17510000,803000,1316300.0,Latin America and the Caribbean,290056
Bulgaria,BGR,2018,Europe,7045000.0,590000,59400,176640.0,Eastern Europe,4967
Cabo Verde,CPV,2018,Africa,533000.0,31000,19000,2280.0,Sub-Saharan Africa,2239
Canada,CAN,2018,Americas,36626000.0,12708000,103000,233949.0,Northern America,36349
Chile,CHL,2018,Americas,18313000.0,2220000,66000,311900.0,Latin America and the Caribbean,34622
China,CHN,2018,Asia,1388233000.0,49735000,1971000,27466400.0,Eastern Asia,14887
El Salvador,SLV,2018,Americas,6167000.0,737000,30000,127840.0,Latin America and the Caribbean,157143
Estonia,EST,2018,Europe,1306000.0,65000,18000,38760.0,Northern Europe,527
Finland,FIN,2018,Europe,5541000.0,1793000,14000,475030.0,Northern Europe,4324
France,FRA,2018,Europe,64939000.0,12732000,497000,566430.0,Western Europe,49441
Georgia,GEO,2018,Asia,3973000.0,402000,41000,63950.0,Western Asia,2137
Germany,DEU,2018,Europe,80636000.0,15822000,466000,483016.0,Western Europe,40324
Ghana,GHA,2018,Africa,28657000.0,2280000,28000,18600.0,Sub-Saharan Africa,968
Greece,GRC,2018,Europe,10893000.0,1920000,99000,642510.0,Southern Europe,1268
Guatemala,GTM,2018,Americas,17005000.0,2062000,43000,160600.0,Latin America and the Caribbean,160137
Guyana,GUY,2018,Americas,774000.0,122000,4000,10890.0,Latin America and the Caribbean,6204
Haiti,HTI,2018,Americas,10983000.0,291000,15000,380.0,Latin America and the Caribbean,11817
Honduras,HND,2018,Americas,8305000.0,1171000,29000,107720.0,Latin America and the Caribbean,156921
Hungary,HUN,2018,Europe,9788000.0,1023000,17000,147880.0,Eastern Europe,3491
Iceland,ISL,2018,Europe,334000.0,106000,590,650.0,Northern Europe,114
India,IND,2018,Asia,1342513000.0,71101000,1700000,3900000.0,Southern Asia,243774
