ISO,Country,Continent,Subregion,Year,Population,Estimate of firearms in civilian possession,Total law enforcement firearms,Total military firearms,"Estimate of firearms in civilian possession per 1,000","Total law enforcement firearms per 1,000","Total military firearms per 1,000",Total Homicides,Total Sexual and Violent Crime Counts,"Total Homicides per 1,000","Total Sexual and Violent Crime Rates per 1,000",Country GDP,"Country GDP per 1,000","Combined Crime Rate per 1,000","Total Firearms per 1,000"
ALB,Albania,Europe,Southern Europe,2018,2911000.0,350000,19000,21750.0,120.2335967021642,6.5269666781174855,7.471659223634489,6248,1365,2.1463414634146343,0.4689110271384404,15379509892.0,5283239.399519066,2.6152524905530745,134.23222260391617
DZA,Algeria,Africa,Northern Africa,2018,41064000.0,877000,363000,637720.0,21.356906292616404,8.839859731151375,15.529904539255796,9855,20008,0.23999123319696083,0.48723943113189166,194554000000.0,4737823.884667836,0.7272306643288525,45.726670563023575
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,2018,94000.0,5000,800,438.0,53.191489361702125,8.51063829787234,4.659574468085107,534,456,5.680851063829787,4.8510638297872335,1661529630.0,17675847.127659574,10.53191489361702,66.36170212765957
ARG,Argentina,Americas,Latin America and the Caribbean,2018,44272000.0,3256000,391000,679770.0,73.54535598120708,8.831767256956994,15.354400072280448,119890,169140,2.708032164799422,3.820473436935309,524820000000.0,11854445.247560535,6.5285056017347305,97.73152331044452
ARM,Armenia,Asia,Western Asia,2018,3032000.0,186000,18000,509240.0,61.34564643799472,5.936675461741425,167.9551451187335,1237,416,0.40798153034300794,0.13720316622691292,12457940695.0,4108819.490435356,0.5451846965699209,235.23746701846966
AUS,Australia,Oceania,Australia and New Zealand,2018,24642000.0,3573000,69000,214520.0,144.9963476990504,2.8000973946919894,8.705462218975732,10072,110159,0.40873305738170607,4.4703757811865925,1427810000000.0,57942131.320509695,4.879108838568299,156.50190731271812
AUT,Austria,Europe,Western Europe,2018,8592000.0,2577000,37900,240880.0,299.9301675977654,4.411080074487895,28.03538175046555,4714,24835,0.5486499068901304,2.890479515828678,452582000000.0,52674813.78026071,3.4391294227188083,332.3766294227188
AZE,Azerbaijan,Asia,Western Asia,2018,9974000.0,362000,18000,537920.0,36.29436534990976,1.8046921997192702,53.93222378183277,9276,1128,0.9300180469219972,0.11309404451574093,47112470052.0,4723528.178464007,1.043112091437738,92.0312813314618
BHS,Bahamas,Americas,Latin America and the Caribbean,2018,397000.0,74000,5000,2470.0,186.39798488664988,12.594458438287154,6.221662468513854,6298,7940,15.863979848866498,20.0,12615800000.0,31777833.753148615,35.8639798488665,205.21410579345087
BRB,Barbados,Americas,Latin America and the Caribbean,2018,286000.0,10000,2000,1675.0,34.96503496503497,6.993006993006993,5.856643356643357,1783,1276,6.234265734265734,4.461538461538462,5629916200.0,19685021.67832168,10.695804195804197,47.81468531468532
