ISO,Country,Continent,Subregion,Population,Estimate of firearms in civilian possession,Registered firearms,Unregistered firearms,Total law enforcement firearms,Total military firearms
ABW,Aruba,Americas,Caribbean,105000.0,3000,,,700,
AFG,Afghanistan,Asia,Southern Asia,34169000.0,4270000,,,239000,
AGO,Angola,Africa,Middle Africa,26656000.0,2982000,,,60000,203300
ALB,Albania,Europe,Southern Europe,2911000.0,350000,65747.0,284253.0,19000,21750
AND,Andorra,Europe,Southern Europe,69000.0,10000,7599.0,2401.0,976,
ARE,United Arab Emirates,Asia,Western Asia,9398000.0,1569000,,,41000,163800
ARG,Argentina,Americas,South America,44272000.0,3256000,1562332.0,1693668.0,391000,679770
ARM,Armenia,Asia,Western Asia,3032000.0,186000,45822.0,140178.0,18000,509240
ASM,American Samoa,Oceania,Polynesia,56000.0,400,250.0,150.0,90,
ATG,Antigua and Barbuda,Americas,Caribbean,94000.0,5000,1449.0,3551.0,800,438
AUS,Australia,Oceania,Australia/New Zealand,24642000.0,3573000,3158795.0,414205.0,69000,214520
AUT,Austria,Europe,Western Europe,8592000.0,2577000,837000.0,1740000.0,37900,240880
AZE,Azerbaijan,Asia,Western Asia,9974000.0,362000,,,18000,537920
BDI,Burundi,Africa,Eastern Africa,11936000.0,238000,,,24278,75960
BEL,Belgium,Europe,Western Europe,11444000.0,1451000,426939.0,1024061.0,78000,80880
BEN,Benin,Africa,Western Africa,11459000.0,33000,,,26000,8700
BFA,Burkina Faso,Africa,Western Africa,19173000.0,175000,,,43000,43780
BGD,Bangladesh,Asia,Southern Asia,164828000.0,659000,185000.0,474000.0,333000,410305
BGR,Bulgaria,Europe,Eastern Europe,7045000.0,590000,345733.0,244267.0,59400,176640
BHR,Bahrain,Asia,Western Asia,1419000.0,181000,,,20000,25796
BHS,"Bahamas, The",Americas,Caribbean,397000.0,74000,17110.0,56890.0,5000,2470
BIH,Bosnia and Herzegovina,Europe,Southern Europe,3793000.0,1185000,353000.0,832000.0,29000,27300
BLR,Belarus,Europe,Eastern Europe,9459000.0,581000,130000.0,451000.0,165000,780600
BLZ,Belize,Americas,Central America,375000.0,37000,10755.0,26245.0,2000,3690
BMU,Bermuda,Americas,Northern America,61000.0,3000,,,500,
BOL,"Bolivia, Plurinational State of",Americas,South America,11053000.0,218000,10982.0,207018.0,42000,87590
BRA,Brazil,Americas,South America,211243000.0,17510000,8080295.0,9429705.0,803000,1316300
BRB,Barbados,Americas,Caribbean,286000.0,10000,3000.0,7000.0,2000,1675
BRN,Brunei Darussalam,Asia,South-eastern Asia,434000.0,6000,,,4000,20220
BTN,Bhutan,Asia,Southern Asia,793000.0,6000,4309.0,1691.0,4000,15200
BWA,Botswana,Africa,Southern Africa,2344000.0,97000,32901.0,64099.0,11000,17100
CAF,Central African Republic,Africa,Middle Africa,5099000.0,94000,,,10000,8580
CAN,Canada,Americas,Northern America,36626000.0,12708000,2081442.0,10626558.0,103000,233949
CHE,Switzerland,Europe,Western Europe,8454000.0,2332000,791719.0,1540281.0,34000,
CHL,Chile,Americas,South America,18313000.0,2220000,763182.0,1456818.0,66000,311900
CHN,China,Asia,Eastern Asia,1388233000.0,49735000,680000.0,49055000.0,1971000,27466400
CIS,Channel Islands,Europe,Northern Europe,165000.0,23000,14550.0,8450.0,500,
CIV,Côte d'Ivoire (Ivory Coast),Africa,Western Africa,23816000.0,1049000,2500.0,1046500.0,,33045
CMR,Cameroon,Africa,Middle Africa,24514000.0,510000,,,15000,27360
COD,Democratic Republic of Congo,Africa,Middle Africa,82243000.0,946000,216.0,945784.0,,161100
COG,"Congo, Republic of",Africa,Middle Africa,4866000.0,119000,,,,12000
COL,Colombia,Americas,South America,49068000.0,4971000,706210.0,4264790.0,,350689
COM,Comoros,Africa,Eastern Africa,826000.0,12000,,,,600
CPV,Cabo Verde (Cape Verde),Africa,Western Africa,533000.0,31000,,,19000,2280
CRI,Costa Rica,Americas,Central America,4906000.0,493000,235631.0,257369.0,,
CUB,Cuba,Americas,Caribbean,11390000.0,234000,58150.0,175850.0,,958100
CUW,Curaçao,Americas,Caribbean,160000.0,4000,,,,
CXR,Christmas Island,Asia,South-eastern Asia,2000.0,-,,,,
CYM,Cayman Islands,Americas,Caribbean,62000.0,6000,1556.0,4444.0,400,
CYP,"Cyprus, Rep. of",Asia,Western Asia,839000.0,285000,154327.0,130673.0,,99000
CZE,Czech Republic,Europe,Eastern Europe,10555000.0,1323000,806895.0,516105.0,,157233
DEU,Germany,Europe,Western Europe,80636000.0,15822000,5830000.0,9992000.0,466000,483016
DJI,Djibouti,Africa,Eastern Africa,911000.0,28000,,,,19855
DMA,Dominica,Americas,Caribbean,73000.0,5000,,,,
DNK,Denmark,Europe,Northern Europe,5712000.0,567000,340000.0,227000.0,,124120
DOM,Dominican Republic,Americas,Caribbean,10767000.0,795000,333426.0,461574.0,,106495
DZA,Algeria,Africa,Northern Africa,41064000.0,877000,200000.0,677000.0,363000,637720
ECU,Ecuador,Americas,South America,16626000.0,402000,167102.0,234898.0,,253668
EGY,Egypt,Africa,Northern Africa,95215000.0,3931000,250000.0,3681000.0,1530000,1544750
ENG,England and Wales,Europe,Northern Europe,58877000.0,2731000,1870735.0,860265.0,28000,
ERI,Eritrea,Africa,Eastern Africa,5482000.0,23000,,,12000,668550
ESP,Spain,Europe,Southern Europe,46070000.0,3464000,2683542.0,780458.0,264196,333660
EST,Estonia,Europe,Northern Europe,1306000.0,65000,47000.0,18000.0,18000,38760
ETH,Ethiopia,Africa,Eastern Africa,104345000.0,377000,,,79000,525600
FIN,Finland,Europe,Northern Europe,5541000.0,1793000,1542396.0,250604.0,14000,475030
FJI,Fiji,Oceania,Melanesia,903000.0,5000,1538.0,3462.0,2000,16700
FLK,Falkland Islands (Malvinas),Americas,South America,3000.0,2000,1705.0,295.0,30,
FRA,France,Europe,Western Europe,64939000.0,12732000,4501235.0,8230765.0,497000,566430
FRO,Faroe Islands,Europe,Northern Europe,48000.0,5000,,,200,
FRO,Faroe Islands,Europe,Northern Europe,49000.0,5000,,,200,
FSM,"Micronesia, Fed. Sts.",Oceania,Micronesia,106000.0,700,,,200,
GAB,Gabon,Africa,Middle Africa,1801000.0,61000,,,4000,5640
GBR,United Kingdom,Europe,Northern Europe,65511000.0,,,,,539680
GEO,Georgia,Asia,Western Asia,3973000.0,402000,159000.0,243000.0,41000,63950
GHA,Ghana,Africa,Western Africa,28657000.0,2280000,1236128.0,1043872.0,28000,18600
GIB,Gibraltar,Europe,Southern Europe,32000.0,1000,,,600,
GIN,Guinea,Africa,Western Africa,13291000.0,130000,,,13000,23080
