,ISO,Country,Continent,Subregion,Population,Active Personel,Total firearms,Computation method
6,AFG,Afghanistan,Asia,Southern Asia,34169000,159600,239000,2.0
9,ALB,Albania,Europe,Southern Europe,2911000,9743,19000,2.0
10,DZA,Algeria,Africa,Northern Africa,41064000,302178,363000,2.0
15,ASM,American Samoa,Oceania,Polynesia,56000,115,90,3.0
16,AND,Andorra,Europe,Southern Europe,69000,341,976,1.0
20,AGO,Angola,Africa,Middle Africa,26656000,49792,60000,3.0
23,ATG,Antigua and Barbuda,Americas,Caribbean,94000,600,800,2.0
24,ARG,Argentina,Americas,South America,44272000,348766,391000,2.0
28,ARM,Armenia,Asia,Western Asia,3032000,11814,18000,3.0
29,ABW,Aruba,Americas,Caribbean,105000,500,700,2.0
30,AUS,Australia,Oceania,Australia/New Zealand,24642000,63161,69000,2.0
33,AUT,Austria,Europe,Western Europe,8592000,27957,37900,1.0
34,AZE,Azerbaijan,Asia,Western Asia,9974000,11696,18000,2.0
35,BHS,"Bahamas, The",Americas,Caribbean,397000,4000,5000,2.0
36,BHR,Bahrain,Asia,Western Asia,1419000,13285,20000,2.0
37,BGD,Bangladesh,Asia,Southern Asia,164828000,200530,333000,2.0
40,BRB,Barbados,Americas,Caribbean,286000,1405,2000,2.0
41,BLR,Belarus,Europe,Eastern Europe,9459000,87000,165000,2.0
43,ISO,Country,Continent,Subregion,Population,Active,Law,
50,BEL,Belgium,Europe,Western Europe,11444000,38437,78000,2.0
53,BLZ,Belize,Americas,Central America,375000,1726,2000,2.0
54,BEN,Benin,Africa,Western Africa,11459000,21405,26000,3.0
56,BMU,Bermuda,Americas,Northern America,61000,412,500,2.0
57,BTN,Bhutan,Asia,Southern Asia,793000,4193,4000,2.0
58,BOL,"Bolivia, Plurinational State of",Americas,South America,11053000,38437,42000,2.0
61,BIH,Bosnia and Herzegovina,Europe,Southern Europe,3793000,15445,29000,2.0
62,BWA,Botswana,Africa,Southern Africa,2344000,8790,11000,2.0
63,BRA,Brazil,Americas,South America,211243000,687684,803000,1.0
64,BRN,Brunei Darussalam,Asia,South-eastern Asia,434000,4400,4000,2.0
65,BGR,Bulgaria,Europe,Eastern Europe,7045000,33465,59400,1.0
71,BFA,Burkina Faso,Africa,Western Africa,19173000,35816,43000,3.0
75,BDI,Burundi,Africa,Eastern Africa,11936000,16173,24278,1.0
76,CPV,Cabo Verde (Cape Verde),Africa,Western Africa,533000,1825,19000,2.0
77,KHM,Cambodia,Asia,South-eastern Asia,16076000,64000,64000,2.0
78,CMR,Cameroon,Africa,Middle Africa,24514000,12839,15000,2.0
81,CAN,Canada,Americas,Northern America,36626000,68773,103000,2.0
83,CYM,Cayman Islands,Americas,Caribbean,62000,343,400,2.0
84,CAF,Central African Republic,Africa,Middle Africa,5099000,9525,10000,2.0
85,TCD,Chad,Africa,Middle Africa,14965000,9500,34000,2.0
88,CIS,Channel Islands,Europe,Northern Europe,165000,515,500,3.0
89,CHL,Chile,Americas,South America,18313000,50700,66000,2.0
92,CHN,China,Asia,Eastern Asia,1388233000,2893000,1971000,2.0
96,ISO,Country,Continent,Subregion,Population,Active,Law,
102,EGY,Egypt,Africa,Northern Africa,95215000,1275000,1530000,2.0
105,SLV,El Salvador,Americas,Central America,6167000,23093,30000,2.0
106,ENG,England and Wales,Europe,Northern Europe,58877000,124066,28000,2.0
107,GNQ,Equatorial Guinea,Africa,Middle Africa,894000,1671,2000,3.0
109,ERI,Eritrea,Africa,Eastern Africa,5482000,10240,12000,3.0
110,EST,Estonia,Europe,Northern Europe,1306000,5116,18000,2.0
113,ETH,Ethiopia,Africa,Eastern Africa,104345000,69000,79000,2.0
117,FLK,Falkland Islands (Malvinas),Americas,South America,3000,18,30,2.0
118,FRO,Faroe Islands,Europe,Northern Europe,48000,116,200,2.0
119,FJI,Fiji,Oceania,Melanesia,903000,1892,2000,2.0
120,FIN,Finland,Europe,Northern Europe,5541000,7211,14000,2.0
121,FRA,France,Europe,Western Europe,64939000,261392,497000,2.0
125,GUF,French Guiana,Americas,South America,283000,1670,2000,2.0
126,PYF,French Polynesia,Oceania,Polynesia,289000,540,400,3.0
127,GAB,Gabon,Africa,Middle Africa,1801000,3365,4000,3.0
129,GMB,Gambia,Africa,Western Africa,2120000,3961,5000,3.0
130,GEO,Georgia,Asia,Western Asia,3973000,27000,41000,2.0
133,DEU,Germany,Europe,Western Europe,80636000,245072,466000,2.0
136,GHA,Ghana,Africa,Western Africa,28657000,23000,28000,2.0
137,GIB,Gibraltar,Europe,Southern Europe,32000,327,600,2.0
140,GRC,Greece,Europe,Southern Europe,10893000,51887,99000,2.0
141,GRL,Greenland,Americas,Northern America,56000,175,300,3.0
142,GRD,Grenada,Americas,Caribbean,108000,946,1000,2.0
143,GLP,Guadeloupe,Americas,Caribbean,472000,1341,2000,3.0
144,GUM,Guam,Oceania,Melanesia,174000,348,500,3.0
145,GTM,Guatemala,Americas,Central America,17005000,33341,43000,2.0
149,ISO,Country,Continent,Subregion,Population,Active,Law,
155,GIN,Guinea,Africa,Western Africa,13291000,11000,13000,2.0
158,GNB,Guinea-Bissau,Africa,Western Africa,1933000,3611,4000,3.0
160,GUY,Guyana,Americas,South America,774000,3640,4000,2.0
