,Country Code,Country,Region,Subregion,Population,Total military firearms,Computation method
0,ALB,Albania,Europe,Southern Europe,2911000,21750,2
1,DZA,Algeria,Africa,Northern Africa,41064000,637720,2
2,AGO,Angola,Africa,Middle Africa,26656000,203300,2
3,ATG,Antigua and Barbuda,Americas,Caribbean,94000,438,2
4,ARG,Argentina,Americas,South America,44272000,679770,2
5,ARM,Armenia,Asia,Western Asia,3032000,509240,2
6,AUS,Australia,Oceania,Australia/New Zealand,24642000,214520,2
7,AUT,Austria,Europe,Western Europe,8592000,240880,2
8,AZE,Azerbaijan,Asia,Western Asia,9974000,537920,2
9,Country,Country,Region,Subregion,Population,Total military,Computation method
10,BHS,"Bahamas, The",Americas,Caribbean,397000,2470,2
11,BHR,Bahrain,Asia,Western Asia,1419000,25796,2
12,BGD,Bangladesh,Asia,Southern Asia,164828000,410305,2
13,BRB,Barbados,Americas,Caribbean,286000,1675,2
14,BLR,Belarus,Europe,Eastern Europe,9459000,780600,2
15,BEL,Belgium,Europe,Western Europe,11444000,80880,2
16,BLZ,Belize,Americas,Central America,375000,3690,2
17,BEN,Benin,Africa,Western Africa,11459000,8700,2
18,BTN,Bhutan,Asia,Southern Asia,793000,15200,2
19,BOL,"Bolivia, Plurinational State of",Americas,South America,11053000,87590,2
20,BIH,Bosnia and Herzegovina,Europe,Southern Europe,3793000,27300,2
21,BWA,Botswana,Africa,Southern Africa,2344000,17100,2
22,BRA,Brazil,Americas,South America,211243000,1316300,1
23,BRN,Brunei Darussalam,Asia,South-eastern Asia,434000,20220,2
24,Country,Country,Region,Subregion,Population,Total military,Computation method
25,BGR,Bulgaria,Europe,Eastern Europe,7045000,176640,2
26,BFA,Burkina Faso,Africa,Western Africa,19173000,43780,2
27,BDI,Burundi,Africa,Eastern Africa,11936000,75960,2
28,CPV,Cabo Verde (Cape Verde),Africa,Western Africa,533000,2280,2
29,KHM,Cambodia,Asia,South-eastern Asia,16076000,258670,2
30,CMR,Cameroon,Africa,Middle Africa,24514000,27360,2
31,CAN,Canada,Americas,Northern America,36626000,233949,1
32,CAF,Central African Republic,Africa,Middle Africa,5099000,8580,2
33,TCD,Chad,Africa,Middle Africa,14965000,25020,2
34,CHL,Chile,Americas,South America,18313000,311900,2
35,CHN,China,Asia,Eastern Asia,1388233000,27466400,2
36,COL,Colombia,Americas,South America,49068000,350689,1
37,COM,Comoros,Africa,Eastern Africa,826000,600,2
38,Country,Country,Region,Subregion,Population,Total military,Computation method
39,COG,"Congo, Republic of",Africa,Middle Africa,4866000,12000,2
40,CIV,Côte d'Ivoire (Ivory Coast),Africa,Western Africa,23816000,33045,2
41,HRV,Croatia,Europe,Southern Europe,4210000,75120,2
42,CUB,Cuba,Americas,Caribbean,11390000,958100,2
43,CYP,"Cyprus, Rep. of",Asia,Western Asia,839000,99000,2
44,CZE,Czech Republic,Europe,Eastern Europe,10555000,157233,1
45,COD,Democratic Republic of Congo,Africa,Middle Africa,82243000,161100,2
46,DNK,Denmark,Europe,Northern Europe,5712000,124120,2
47,DJI,Djibouti,Africa,Eastern Africa,911000,19855,2
48,DOM,Dominican Republic,Americas,Caribbean,10767000,106495,2
49,ECU,Ecuador,Americas,South America,16626000,253668,2
50,EGY,Egypt,Africa,Northern Africa,95215000,1544750,2
51,SLV,El Salvador,Americas,Central America,6167000,127840,2
52,Country,Country,Region,Subregion,Population,Total military,Computation method
53,GNQ,Equatorial Guinea,Africa,Middle Africa,894000,2760,2
54,ERI,Eritrea,Africa,Eastern Africa,5482000,668550,2
55,EST,Estonia,Europe,Northern Europe,1306000,38760,2
56,ETH,Ethiopia,Africa,Eastern Africa,104345000,525600,2
57,FJI,Fiji,Oceania,Melanesia,903000,16700,2
